"Strain","Other_designations","Substrate_of_isolation","Geographic_location","Dataset","Phylogeny","Genome_data","Reference","Geographic_region"
"YPS1000","","Oak","USA","Restricted","YPS1000","SRP059414","This study","America (North)"
"YPS1009","","Oak","USA","Restricted","North America/Japan","PRJNA60223","","America (North)"
"YPS128","","Oak","USA","Restricted","North America/Japan","SGRP2","[3]","America (North)"
"YPS163","","Oak","USA","Restricted","North America/Japan","PRJNA28813","[7]","America (North)"
"ZP1008","","Oak","Portugal","Restricted","Mediterranean oak","SRP059414","This study","Europe and Mediterranea"
"ZP1041","","Fruit","Portugal","Restricted","Wine","SRP059414","This study","Europe and Mediterranea"
"ZP1050","","Oak","Portugal","Restricted","North America/Japan","PRJEB7675","This study","Europe and Mediterranea"
"ZP530","","Other tree","Portugal","Restricted","North America/Japan","PRJEB7601","This study","Europe and Mediterranea"
"ZP541","","Other tree","Portugal","Restricted","Mediterranean oak","PRJEB7601","This study","Europe and Mediterranea"
"ZP560","","Oak","Portugal","Restricted","Mediterranean oak","PRJEB7601","This study","Europe and Mediterranea"
"ZP562","","Oak","Portugal","Restricted","Mediterranean oak","PRJEB7601","This study","Europe and Mediterranea"
"ZP563","","Other tree","Portugal","Restricted","Mediterranean oak","PRJEB7601","This study","Europe and Mediterranea"
"ZP565","","Other tree","Portugal","Restricted","Mediterranean oak","PRJEB7601","This study","Europe and Mediterranea"
"ZP568","","Oak","Portugal","Restricted","Mediterranean oak","PRJEB7601","This study","Europe and Mediterranea"
"ZP570","","Other tree","Portugal","Restricted","Mediterranean oak","PRJEB7601","This study","Europe and Mediterranea"
"ZP577","","Oak","Portugal","Restricted","Wine","PRJEB7601","This study","Europe and Mediterranea"
"ZP578","","Oak","Portugal","Restricted","Wine","PRJEB7601","This study","Europe and Mediterranea"
"ZP579","","Oak","Portugal","Restricted","Wine","PRJEB7601","This study","Europe and Mediterranea"
"ZP611","","Oak","Canada","Large","Mosaic","PRJEB7675","This study","America (North)"
"ZP633","","Oak","Portugal","Restricted","Mediterranean oak","PRJEB7601","This study","Europe and Mediterranea"
"ZP636","","Other tree","Portugal","Restricted","Mediterranean oak","PRJEB7601","This study","Europe and Mediterranea"
"ZP641","","Wine","Portugal","Restricted","Wine","PRJEB7601","This study","Europe and Mediterranea"
"ZP651","","Oak","Japan","Restricted","North America/Japan","PRJEB7601","This study","Asia (Japan)"
"ZP652","","Oak","Japan","Restricted","North America/Japan","PRJEB7601","This study","Asia (Japan)"
"ZP653","","Oak","Japan","Restricted","North America/Japan","PRJEB7601","This study","Asia (Japan)"
"ZP656","","Oak","Japan","Restricted","North America/Japan","PRJEB7601","This study","Asia (Japan)"
"ZP675","","Oak","Japan","Restricted","North America/Japan","PRJEB7601","This study","Asia (Japan)"
"ZP680","","Oak","Japan","Restricted","North America/Japan","PRJEB7601","This study","Asia (Japan)"
"ZP736","","Fruit","Portugal","Restricted","Mediterranean oak","PRJEB7601","This study","Europe and Mediterranea"
"ZP742","","Fruit","Portugal","Restricted","Mediterranean oak","PRJEB7601","This study","Europe and Mediterranea"
"ZP779","","Oak","Japan","Restricted","North America/Japan","PRJEB7601","This study","Asia (Japan)"
"ZP780","","Oak","Japan","Restricted","North America/Japan","SRP059414","This study","Asia (Japan)"
"ZP781","","Oak","Japan","Restricted","North America/Japan","PRJEB7601","This study","Asia (Japan)"
"ZP785","","Oak","Japan","Restricted","North America/Japan","PRJEB7601","This study","Asia (Japan)"
"ZP786","","Oak","Japan","Restricted","North America/Japan","PRJEB7601","This study","Asia (Japan)"
"ZP793","","Oak","Japan","Restricted","North America/Japan","PRJEB7601","This study","Asia (Japan)"
"ZP796","","Oak","Japan","Restricted","North America/Japan","PRJEB7601","This study","Asia (Japan)"
"ZP817","","Oak","Japan","Restricted","North America/Japan","PRJEB7601","This study","Asia (Japan)"
"ZP823","","Oak","Japan","Restricted","North America/Japan","PRJEB7601","This study","Asia (Japan)"
"ZP848","","Oak","Portugal","Restricted","Mediterranean oak","PRJEB7675","This study","Europe and Mediterranea"
"ZP850","","Oak","Spain","Restricted","Mediterranean oak","PRJEB7601","This study","Europe and Mediterranea"
"ZP851","","Oak","Spain","Restricted","Mediterranean oak","PRJEB7675","This study","Europe and Mediterranea"
"ZP860","","Oak","Spain","Restricted","Mediterranean oak","PRJEB7601","This study","Europe and Mediterranea"
"ZP861","","Fruit","Portugal","Restricted","Wine","PRJEB7601","This study","Europe and Mediterranea"
"ZP862","","Fruit","Portugal","Restricted","Wine","PRJEB7601","This study","Europe and Mediterranea"
"sacCer3","","","","","","","",""
