Strain,Other_designations,Substrate_of_isolation,Geographic_location,Dataset,Phylogeny,Genome_data,Reference
ZP577,,Quercus faginea,"Aldeia das Dez, Portugal",Restricted,Wine,PRJEB7601,This study
ZP578,,Quercus faginea,"Aldeia das Dez, Portugal",Restricted,Wine,PRJEB7601,This study
ZP579,,Quercus pyrenaica,"Aldeia das Dez, Portugal",Restricted,Wine,PRJEB7601,This study
ZP590,,Quercus pyrenaica,"Castelo de Vide, Portugal ",?,Mediterranean oak,PRJEB7601,This study
ZP611,,Quercus robur,"Vancouver, Canada",Large,Mosaic,PRJEB7675,This study
ZP633,,Quercus pyrenaica,"Castelo de Vide, Portugal ",Restricted,Mediterranean oak,PRJEB7601,This study
ZP636,,Castanea sativa,"Castelo de Vide, Portugal ",Restricted,Mediterranean oak,PRJEB7601,This study
ZP641,,Spontaneous red wine fermentation,"Castelo de Vide, Portugal ",Restricted,Wine,PRJEB7601,This study
ZP649,,Quercus acutissima,"Chiba Perfecture, Japan",?,North America/Japan,PRJEB7601,This study
ZP650,,Quercus acutissima,"Chiba Perfecture, Japan",?,North America/Japan,PRJEB7601,This study
ZP651,,Quercus acutissima,"Chiba Perfecture, Japan",Restricted,North America/Japan,PRJEB7601,This study
ZP652,,Quercus acutissima,"Chiba Perfecture, Japan",Restricted,North America/Japan,PRJEB7601,This study
ZP653,,Quercus acutissima,"Chiba Perfecture, Japan",Restricted,North America/Japan,PRJEB7601,This study
ZP654,,Quercus acutissima,"Chiba Perfecture, Japan",?,North America/Japan,PRJEB7601,This study
ZP655,,Quercus acuta,"Chiba Perfecture, Japan",?,North America/Japan,PRJEB7601,This study
ZP656,,Quercus acuta,"Chiba Perfecture, Japan",Restricted,North America/Japan,PRJEB7601,This study
ZP657,,Quercus acuta,"Chiba Perfecture, Japan",?,North America/Japan,PRJEB7601,This study
ZP658,,Quercus acuta,"Chiba Perfecture, Japan",?,North America/Japan,PRJEB7601,This study
ZP674,,Quercus acutissima,"Chiba Perfecture, Japan",?,North America/Japan,PRJEB7601,This study
ZP675,,Quercus acutissima,"Chiba Perfecture, Japan",Restricted,North America/Japan,PRJEB7601,This study
ZP676,,Quercus acutissima,"Chiba Perfecture, Japan",?,North America/Japan,PRJEB7601,This study
ZP677,,Quercus acutissima,"Chiba Perfecture, Japan",?,North America/Japan,PRJEB7601,This study
ZP678,,Quercus acutissima,"Chiba Perfecture, Japan",?,North America/Japan,PRJEB7601,This study
ZP680,,Quercus acutissima,"Chiba Perfecture, Japan",Restricted,North America/Japan,PRJEB7601,This study
ZP736,,Rotten figs,"Carat?o, Abrantes, Portugal",Restricted,Mediterranean oak,PRJEB7601,This study
ZP742,,Rotten figs,"Carat?o, Abrantes, Portugal",Restricted,Mediterranean oak,PRJEB7601,This study
ZP778,,Quercus acutissima,"Hirusen highland, Okayama Perfecture, Japan",?,North America/Japan,PRJEB7601,This study
ZP779,,Quercus acutissima,"Hirusen highland, Okayama Perfecture, Japan",Restricted,North America/Japan,PRJEB7601,This study
ZP780,,Quercus acutissima,"Hirusen highland, Okayama Perfecture, Japan",Restricted,North America/Japan,SRP059414,This study
ZP781,,Quercus serrata,"Hirusen highland, Okayama Perfecture, Japan",Restricted,North America/Japan,PRJEB7601,This study
ZP783,,Quercus acutissima,"Hirusen highland, Okayama Perfecture, Japan",?,North America/Japan,PRJEB7601,This study
ZP784,,Quercus dentata,"Hirusen highland, Okayama Perfecture, Japan",?,North America/Japan,PRJEB7601,This study
ZP785,,Quercus  dentata,"Hirusen highland, Okayama Perfecture, Japan",Restricted,North America/Japan,PRJEB7601,This study
ZP786,,Quercus dentata,"Hirusen highland, Okayama Perfecture, Japan",Restricted,North America/Japan,PRJEB7601,This study
ZP793,,Quercus dentata,"Hirusen highland, Okayama Perfecture, Japan",Restricted,North America/Japan,PRJEB7601,This study
ZP794,,Quercus dentata,"Hirusen highland, Okayama Perfecture, Japan",?,North America/Japan,PRJEB7601,This study
ZP796,,Quercus dentata,"Hirusen highland, Okayama Perfecture, Japan",Restricted,North America/Japan,PRJEB7601,This study
ZP817,,Quercus acutissima,"Hirusen highland, Okayama Perfecture, Japan",Restricted,North America/Japan,PRJEB7601,This study
ZP823,,Quercus acutissima,"Hirusen highland, Okayama Perfecture, Japan",Restricted,North America/Japan,PRJEB7601,This study
ZP848,,Quercus ilex,"Alter do Ch?o, Portugal",Restricted,Mediterranean oak,PRJEB7675,This study
ZP850,,Quercus ilex,"Alconorales Natural Park, Andaluzia, Spain",Restricted,Mediterranean oak,PRJEB7601,This study
ZP851,,Quercus ilex,"Alconorales Natural Park, Andaluzia, Spain",Restricted,Mediterranean oak,PRJEB7675,This study
ZP860,,Quercus ilex,"Alconorales Natural Park, Andaluzia, Spain",Restricted,Mediterranean oak,PRJEB7601,This study
ZP861,,Sun-dryed apple with ants ,"Carat?o, Abrantes, Portugal",Restricted,Wine,PRJEB7601,This study
ZP862,,Apple with insect holes,"Carat?o, Abrantes, Portugal",Restricted,Wine,PRJEB7601,This study
Spar,,,,,,,
sacCer3,,,,,,,
